,timeDerrotado
64050,"[67, 87, 23, 30, 60]"
64051,"[21, 102, 63, 77, 99]"
64052,"[84, 5, 46, 42, 28]"
64053,"[42, 62, 26, 21, 60]"
64054,"[110, 11, 93, 71, 104]"
64055,"[71, 50, 106, 46, 39]"
64056,"[102, 104, 97, 106, 56]"
64057,"[21, 19, 3, 56, 16]"
64058,"[8, 64, 106, 93, 54]"
64059,"[100, 9, 1, 57, 71]"
64060,"[112, 45, 76, 44, 3]"
64061,"[86, 36, 1, 103, 30]"
64062,"[49, 20, 56, 91, 19]"
64063,"[100, 86, 13, 104, 84]"
64064,"[8, 35, 54, 82, 14]"
64065,"[97, 46, 21, 70, 1]"
64066,"[55, 9, 93, 106, 57]"
64067,"[55, 2, 21, 50, 42]"
64068,"[32, 102, 26, 4, 21]"
64069,"[93, 8, 5, 69, 79]"
64070,"[10, 82, 7, 50, 74]"
64071,"[27, 71, 94, 65, 47]"
64072,"[8, 11, 96, 7, 26]"
64073,"[39, 72, 86, 14, 21]"
64074,"[14, 11, 104, 57, 93]"
64075,"[73, 48, 36, 60, 70]"
64076,"[90, 100, 54, 86, 21]"
64077,"[18, 98, 97, 7, 87]"
64078,"[100, 68, 39, 86, 8]"
64079,"[47, 57, 7, 74, 8]"
64080,"[26, 59, 112, 7, 72]"
64081,"[85, 39, 71, 101, 67]"
64082,"[14, 36, 1, 19, 91]"
64083,"[33, 11, 97, 44, 67]"
64084,"[28, 93, 46, 97, 50]"
64085,"[5, 96, 26, 104, 67]"
64086,"[8, 87, 49, 100, 16]"
64087,"[47, 86, 59, 25, 104]"
64088,"[107, 25, 39, 18, 11]"
64089,"[55, 66, 106, 1, 28]"
64090,"[50, 59, 97, 73, 44]"
64091,"[55, 33, 72, 86, 39]"
64092,"[81, 11, 64, 50, 51]"
64093,"[8, 25, 31, 109, 104]"
64094,"[59, 62, 95, 34, 37]"
64095,"[25, 39, 14, 93, 3]"
64096,"[51, 25, 1, 39, 50]"
64097,"[28, 73, 90, 50, 7]"
64098,"[11, 40, 100, 8, 36]"
64099,"[101, 100, 33, 81, 14]"
64100,"[58, 53, 11, 67, 29]"
64101,"[107, 26, 76, 35, 55]"
64102,"[100, 87, 112, 1, 74]"
64103,"[47, 2, 97, 100, 50]"
64104,"[19, 39, 83, 88, 59]"
64105,"[11, 28, 86, 72, 68]"
64106,"[21, 67, 5, 51, 84]"
64107,"[25, 104, 5, 3, 21]"
64108,"[59, 22, 75, 47, 8]"
64109,"[81, 84, 14, 53, 68]"
64110,"[1, 85, 23, 28, 47]"
64111,"[13, 60, 73, 112, 63]"
64112,"[11, 3, 28, 14, 41]"
64113,"[99, 62, 11, 70, 87]"
64114,"[41, 17, 42, 102, 22]"
64115,"[11, 36, 71, 7, 93]"
64116,"[106, 112, 13, 71, 55]"
64117,"[88, 30, 41, 43, 9]"
64118,"[46, 7, 14, 93, 90]"
64119,"[12, 21, 74, 60, 87]"
64120,"[37, 95, 62, 59, 11]"
64121,"[53, 99, 59, 106, 84]"
64122,"[104, 5, 59, 32, 97]"
64123,"[46, 14, 20, 102, 100]"
64124,"[86, 11, 42, 65, 21]"
64125,"[57, 106, 21, 74, 9]"
64126,"[50, 8, 99, 48, 72]"
64127,"[36, 86, 110, 49, 1]"
64128,"[2, 17, 50, 73, 106]"
64129,"[8, 82, 100, 2, 62]"
64130,"[27, 12, 20, 97, 11]"
64131,"[88, 86, 41, 74, 112]"
64132,"[74, 80, 6, 51, 26]"
64133,"[44, 75, 86, 11, 27]"
64134,"[48, 28, 1, 98, 25]"
64135,"[14, 106, 27, 16, 93]"
64136,"[104, 50, 87, 74, 93]"
64137,"[51, 21, 14, 67, 86]"
64138,"[98, 19, 6, 92, 75]"
64139,"[62, 69, 74, 70, 25]"
64140,"[14, 21, 85, 106, 33]"
64141,"[8, 100, 75, 60, 86]"
64142,"[73, 69, 97, 19, 31]"
64143,"[50, 28, 74, 21, 26]"
64144,"[97, 1, 39, 84, 112]"
64145,"[112, 94, 21, 102, 49]"
64146,"[74, 44, 105, 23, 104]"
64147,"[82, 9, 56, 33, 106]"
64148,"[28, 100, 104, 5, 2]"
64149,"[86, 99, 73, 51, 23]"
64150,"[15, 25, 7, 18, 4]"
64151,"[93, 112, 43, 16, 71]"
64152,"[4, 22, 20, 30, 72]"
64153,"[93, 106, 97, 88, 7]"
64154,"[111, 39, 2, 21, 48]"
64155,"[27, 19, 22, 71, 35]"
64156,"[74, 17, 45, 43, 50]"
64157,"[44, 11, 110, 86, 25]"
64158,"[27, 71, 42, 50, 30]"
64159,"[99, 91, 64, 11, 66]"
64160,"[83, 21, 104, 29, 17]"
64161,"[15, 30, 39, 68, 18]"
64162,"[44, 57, 1, 11, 30]"
64163,"[11, 111, 59, 71, 92]"
64164,"[79, 72, 75, 43, 9]"
64165,"[7, 44, 11, 35, 20]"
64166,"[28, 51, 4, 35, 74]"
64167,"[19, 91, 14, 93, 32]"
64168,"[104, 73, 62, 26, 67]"
64169,"[75, 112, 83, 41, 72]"
64170,"[20, 47, 40, 69, 104]"
64171,"[21, 3, 42, 11, 79]"
64172,"[53, 112, 11, 51, 72]"
64173,"[100, 91, 86, 67, 39]"
64174,"[85, 22, 50, 64, 56]"
64175,"[19, 61, 104, 106, 46]"
64176,"[33, 103, 101, 46, 8]"
64177,"[102, 112, 100, 19, 8]"
64178,"[85, 7, 100, 106, 22]"
64179,"[88, 50, 42, 97, 73]"
64180,"[74, 86, 97, 8, 69]"
64181,"[31, 102, 21, 100, 39]"
64182,"[41, 71, 67, 57, 21]"
64183,"[12, 20, 72, 11, 42]"
64184,"[50, 26, 60, 28, 55]"
64185,"[23, 96, 13, 71, 40]"
64186,"[109, 99, 50, 93, 23]"
64187,"[21, 1, 36, 85, 100]"
64188,"[95, 98, 50, 74, 73]"
64189,"[106, 56, 55, 73, 23]"
64190,"[39, 19, 21, 50, 53]"
64191,"[39, 59, 100, 68, 21]"
64192,"[112, 72, 50, 100, 67]"
64193,"[9, 21, 35, 15, 87]"
64194,"[6, 68, 11, 14, 104]"
64195,"[48, 112, 55, 74, 94]"
64196,"[19, 74, 7, 30, 38]"
64197,"[44, 14, 28, 43, 98]"
64198,"[98, 14, 9, 21, 94]"
64199,"[97, 100, 28, 8, 16]"
64200,"[29, 106, 34, 44, 27]"
64201,"[44, 98, 76, 56, 50]"
64202,"[44, 20, 43, 2, 104]"
64203,"[2, 100, 94, 99, 39]"
64204,"[59, 54, 88, 102, 35]"
64205,"[70, 75, 69, 17, 46]"
64206,"[13, 97, 26, 70, 5]"
64207,"[106, 18, 50, 100, 99]"
64208,"[60, 25, 93, 62, 7]"
64209,"[73, 28, 43, 26, 16]"
64210,"[74, 67, 31, 20, 25]"
64211,"[5, 88, 74, 21, 47]"
64212,"[106, 50, 97, 39, 55]"
64213,"[8, 39, 28, 68, 4]"
64214,"[112, 74, 51, 93, 32]"
64215,"[85, 11, 9, 1, 57]"
64216,"[112, 40, 65, 81, 21]"
64217,"[36, 42, 16, 97, 47]"
64218,"[44, 57, 54, 74, 75]"
64219,"[22, 54, 11, 51, 21]"
64220,"[74, 20, 88, 100, 53]"
64221,"[25, 7, 104, 32, 55]"
64222,"[21, 60, 32, 11, 55]"
64223,"[21, 14, 19, 1, 73]"
64224,"[25, 36, 85, 67, 100]"
64225,"[13, 53, 9, 14, 42]"
64226,"[21, 14, 50, 63, 67]"
64227,"[42, 39, 107, 21, 26]"
64228,"[21, 85, 72, 1, 4]"
64229,"[39, 84, 104, 86, 11]"
64230,"[21, 96, 72, 36, 62]"
64231,"[1, 30, 87, 73, 62]"
64232,"[86, 41, 20, 21, 14]"
64233,"[104, 1, 25, 32, 79]"
64234,"[67, 104, 86, 7, 98]"
64235,"[112, 25, 47, 73, 62]"
64236,"[11, 62, 79, 110, 4]"
64237,"[90, 70, 110, 39, 14]"
64238,"[106, 39, 2, 21, 97]"
64239,"[98, 50, 106, 19, 62]"
64240,"[42, 36, 68, 26, 110]"
64241,"[44, 23, 25, 94, 69]"
64242,"[28, 20, 21, 26, 19]"
64243,"[5, 106, 42, 73, 54]"
64244,"[21, 30, 75, 39, 67]"
64245,"[34, 17, 64, 50, 42]"
64246,"[74, 87, 100, 21, 104]"
64247,"[3, 28, 106, 112, 74]"
64248,"[5, 8, 11, 71, 64]"
64249,"[19, 21, 112, 69, 31]"
64250,"[48, 34, 62, 14, 110]"
64251,"[47, 27, 55, 102, 41]"
64252,"[69, 79, 104, 74, 8]"
64253,"[70, 16, 97, 74, 30]"
64254,"[63, 69, 73, 84, 26]"
64255,"[8, 26, 20, 38, 39]"
64256,"[87, 8, 106, 71, 60]"
64257,"[106, 32, 64, 25, 51]"
64258,"[71, 77, 65, 19, 9]"
64259,"[1, 17, 28, 112, 62]"
64260,"[102, 62, 4, 21, 109]"
64261,"[21, 57, 6, 11, 110]"
64262,"[35, 86, 46, 7, 63]"
64263,"[8, 69, 112, 74, 28]"
64264,"[73, 111, 7, 40, 56]"
64265,"[1, 55, 107, 74, 4]"
64266,"[39, 41, 32, 86, 7]"
64267,"[62, 100, 43, 50, 11]"
64268,"[39, 33, 72, 27, 112]"
64269,"[76, 5, 88, 39, 71]"
64270,"[49, 71, 20, 6, 22]"
64271,"[14, 22, 74, 42, 4]"
64272,"[84, 72, 32, 31, 74]"
64273,"[5, 19, 43, 70, 53]"
64274,"[100, 28, 90, 11, 106]"
64275,"[40, 8, 21, 19, 37]"
64276,"[35, 25, 81, 34, 71]"
64277,"[11, 18, 112, 110, 50]"
64278,"[75, 11, 36, 69, 44]"
64279,"[90, 52, 73, 21, 93]"
64280,"[93, 21, 69, 31, 7]"
64281,"[21, 19, 42, 51, 101]"
64282,"[18, 57, 31, 21, 63]"
64283,"[86, 112, 39, 63, 2]"
64284,"[100, 11, 9, 21, 84]"
64285,"[44, 86, 104, 74, 54]"
64286,"[2, 51, 11, 88, 98]"
64287,"[67, 50, 36, 28, 16]"
64288,"[35, 79, 77, 104, 25]"
64289,"[77, 86, 87, 88, 8]"
64290,"[23, 53, 39, 74, 64]"
64291,"[19, 43, 11, 2, 91]"
64292,"[28, 72, 16, 20, 46]"
64293,"[44, 16, 14, 19, 21]"
64294,"[73, 21, 93, 7, 30]"
64295,"[69, 67, 99, 25, 51]"
64296,"[32, 7, 67, 85, 106]"
64297,"[11, 74, 82, 104, 87]"
64298,"[20, 18, 62, 97, 106]"
64299,"[31, 62, 104, 112, 35]"
64300,"[106, 12, 50, 62, 28]"
64301,"[20, 59, 2, 109, 28]"
64302,"[33, 69, 39, 64, 6]"
64303,"[2, 19, 51, 40, 47]"
64304,"[100, 42, 7, 68, 21]"
64305,"[7, 41, 100, 27, 102]"
64306,"[72, 30, 85, 86, 80]"
64307,"[21, 71, 5, 57, 22]"
64308,"[68, 46, 69, 18, 9]"
64309,"[107, 10, 40, 111, 106]"
64310,"[46, 34, 100, 93, 28]"
64311,"[68, 14, 100, 12, 11]"
64312,"[100, 106, 42, 39, 68]"
64313,"[7, 37, 55, 106, 72]"
64314,"[47, 9, 67, 64, 2]"
64315,"[8, 11, 36, 30, 62]"
64316,"[99, 100, 62, 74, 69]"
64317,"[27, 94, 9, 39, 7]"
64318,"[85, 60, 93, 5, 34]"
64319,"[73, 12, 27, 9, 93]"
64320,"[102, 19, 8, 83, 7]"
64321,"[11, 73, 21, 39, 62]"
64322,"[11, 19, 21, 5, 69]"
64323,"[97, 30, 23, 69, 4]"
64324,"[8, 26, 63, 62, 25]"
64325,"[37, 46, 2, 51, 6]"
64326,"[19, 34, 21, 45, 91]"
64327,"[79, 8, 4, 34, 102]"
64328,"[1, 89, 21, 19, 25]"
64329,"[104, 31, 82, 42, 28]"
64330,"[11, 77, 7, 73, 27]"
64331,"[11, 62, 8, 101, 97]"
64332,"[74, 73, 112, 63, 14]"
64333,"[75, 74, 100, 73, 12]"
64334,"[73, 66, 46, 97, 74]"
64335,"[31, 73, 106, 25, 100]"
64336,"[4, 61, 73, 93, 68]"
64337,"[7, 81, 88, 35, 14]"
64338,"[112, 74, 55, 67, 64]"
64339,"[39, 107, 21, 3, 60]"
64340,"[36, 1, 87, 22, 21]"
64341,"[30, 59, 50, 29, 67]"
64342,"[28, 51, 48, 87, 21]"
64343,"[65, 93, 19, 32, 60]"
64344,"[21, 81, 20, 12, 101]"
64345,"[92, 73, 109, 86, 20]"
64346,"[50, 95, 17, 7, 104]"
64347,"[33, 11, 89, 55, 53]"
64348,"[60, 71, 28, 97, 39]"
64349,"[85, 5, 1, 14, 21]"
64350,"[74, 60, 28, 100, 58]"
64351,"[6, 82, 36, 93, 42]"
64352,"[11, 50, 14, 72, 5]"
64353,"[1, 62, 21, 86, 26]"
64354,"[39, 101, 7, 67, 36]"
64355,"[99, 35, 62, 2, 88]"
64356,"[47, 112, 107, 106, 11]"
64357,"[36, 69, 40, 106, 11]"
64358,"[93, 11, 98, 9, 2]"
64359,"[8, 5, 36, 68, 61]"
64360,"[3, 17, 7, 38, 28]"
64361,"[87, 51, 19, 112, 74]"
64362,"[67, 61, 93, 86, 9]"
64363,"[1, 26, 34, 102, 9]"
64364,"[3, 106, 95, 11, 5]"
64365,"[70, 42, 71, 35, 74]"
64366,"[90, 104, 100, 93, 59]"
64367,"[29, 62, 35, 68, 63]"
64368,"[90, 46, 100, 18, 32]"
64369,"[56, 32, 100, 106, 26]"
64370,"[68, 93, 88, 97, 75]"
64371,"[2, 68, 39, 42, 71]"
64372,"[71, 75, 21, 17, 78]"
64373,"[8, 47, 112, 21, 33]"
64374,"[3, 67, 11, 20, 32]"
64375,"[106, 107, 105, 112, 98]"
64376,"[8, 25, 104, 14, 105]"
64377,"[3, 100, 74, 101, 93]"
64378,"[7, 1, 100, 2, 37]"
64379,"[21, 100, 106, 86, 58]"
64380,"[55, 19, 73, 11, 21]"
64381,"[28, 50, 94, 68, 22]"
64382,"[106, 81, 9, 52, 78]"
64383,"[11, 8, 31, 86, 28]"
64384,"[93, 77, 80, 13, 110]"
64385,"[48, 27, 104, 30, 98]"
64386,"[36, 39, 68, 44, 13]"
64387,"[12, 55, 39, 7, 31]"
64388,"[55, 7, 11, 15, 41]"
64389,"[110, 106, 1, 57, 75]"
64390,"[13, 47, 66, 56, 73]"
64391,"[98, 86, 8, 68, 29]"
64392,"[11, 22, 26, 73, 63]"
64393,"[102, 106, 51, 32, 39]"
64394,"[41, 30, 44, 71, 25]"
64395,"[104, 110, 18, 5, 21]"
64396,"[85, 22, 100, 21, 4]"
64397,"[57, 26, 106, 56, 74]"
64398,"[42, 74, 2, 15, 57]"
64399,"[53, 33, 12, 94, 54]"
64400,"[85, 5, 28, 46, 81]"
64401,"[73, 20, 86, 82, 43]"
64402,"[11, 36, 74, 9, 52]"
64403,"[4, 40, 1, 92, 44]"
64404,"[11, 27, 1, 9, 51]"
64405,"[48, 39, 28, 10, 71]"
64406,"[97, 30, 11, 68, 54]"
64407,"[21, 46, 28, 112, 100]"
64408,"[85, 1, 26, 93, 50]"
64409,"[68, 93, 46, 14, 55]"
64410,"[29, 69, 50, 15, 1]"
64411,"[32, 98, 2, 38, 50]"
64412,"[59, 81, 11, 21, 57]"
64413,"[70, 39, 20, 7, 69]"
64414,"[104, 27, 6, 106, 11]"
64415,"[1, 79, 25, 6, 21]"
64416,"[42, 39, 7, 44, 64]"
64417,"[99, 5, 2, 39, 106]"
64418,"[82, 104, 21, 8, 50]"
64419,"[40, 4, 2, 74, 41]"
64420,"[106, 21, 30, 73, 8]"
64421,"[42, 85, 100, 98, 45]"
64422,"[17, 12, 8, 63, 75]"
64423,"[71, 14, 21, 87, 11]"
64424,"[8, 85, 5, 46, 86]"
64425,"[11, 8, 69, 64, 9]"
64426,"[98, 101, 6, 100, 15]"
64427,"[4, 27, 2, 8, 41]"
64428,"[14, 100, 18, 84, 97]"
64429,"[73, 74, 28, 34, 62]"
64430,"[85, 112, 69, 72, 106]"
64431,"[28, 86, 49, 46, 22]"
64432,"[1, 53, 100, 28, 39]"
64433,"[25, 1, 11, 3, 77]"
64434,"[62, 20, 47, 95, 104]"
64435,"[36, 47, 112, 107, 21]"
64436,"[32, 39, 20, 112, 81]"
64437,"[74, 45, 81, 2, 104]"
64438,"[3, 5, 19, 106, 93]"
64439,"[63, 28, 104, 30, 22]"
64440,"[99, 106, 86, 45, 11]"
64441,"[1, 86, 5, 73, 99]"
64442,"[71, 86, 19, 11, 26]"
64443,"[50, 72, 106, 8, 97]"
64444,"[83, 21, 74, 82, 93]"
64445,"[28, 8, 50, 73, 14]"
64446,"[88, 50, 11, 100, 28]"
64447,"[75, 97, 25, 104, 67]"
64448,"[56, 73, 26, 14, 70]"
64449,"[30, 89, 21, 34, 93]"
64450,"[8, 100, 26, 46, 86]"
64451,"[70, 35, 74, 9, 92]"
64452,"[46, 29, 11, 71, 75]"
64453,"[26, 1, 22, 49, 62]"
64454,"[86, 28, 39, 8, 45]"
64455,"[14, 2, 47, 93, 35]"
64456,"[61, 93, 21, 16, 79]"
64457,"[35, 7, 39, 3, 18]"
64458,"[85, 7, 21, 10, 35]"
64459,"[11, 63, 106, 35, 44]"
64460,"[47, 49, 37, 84, 93]"
64461,"[94, 39, 59, 2, 74]"
64462,"[41, 84, 20, 53, 19]"
64463,"[11, 9, 110, 112, 72]"
64464,"[86, 19, 11, 7, 39]"
64465,"[74, 14, 2, 94, 48]"
64466,"[4, 21, 62, 106, 7]"
64467,"[63, 93, 68, 41, 47]"
64468,"[72, 111, 86, 110, 25]"
64469,"[73, 28, 37, 30, 21]"
64470,"[1, 14, 71, 59, 27]"
64471,"[56, 59, 20, 77, 47]"
64472,"[21, 47, 36, 2, 7]"
64473,"[75, 25, 32, 48, 90]"
64474,"[73, 100, 57, 93, 47]"
64475,"[104, 86, 12, 21, 11]"
64476,"[43, 7, 100, 72, 46]"
64477,"[106, 73, 112, 19, 7]"
64478,"[72, 92, 93, 88, 21]"
64479,"[27, 106, 8, 9, 99]"
64480,"[50, 42, 10, 95, 60]"
64481,"[38, 62, 81, 47, 30]"
64482,"[104, 7, 69, 25, 12]"
64483,"[95, 21, 11, 87, 55]"
64484,"[36, 86, 22, 7, 67]"
64485,"[94, 34, 33, 87, 93]"
64486,"[21, 16, 28, 50, 69]"
64487,"[8, 97, 9, 85, 20]"
64488,"[21, 54, 94, 96, 71]"
64489,"[21, 73, 96, 28, 68]"
64490,"[62, 15, 16, 11, 98]"
64491,"[68, 63, 21, 107, 66]"
64492,"[54, 104, 48, 18, 50]"
64493,"[21, 69, 5, 94, 110]"
64494,"[73, 104, 5, 23, 72]"
64495,"[25, 68, 34, 38, 19]"
64496,"[86, 32, 93, 21, 69]"
64497,"[112, 73, 28, 44, 86]"
64498,"[49, 21, 33, 70, 101]"
64499,"[13, 99, 45, 95, 68]"
64500,"[104, 42, 26, 75, 74]"
64501,"[39, 86, 35, 61, 25]"
64502,"[4, 85, 22, 61, 52]"
64503,"[17, 70, 28, 2, 79]"
64504,"[9, 2, 44, 7, 25]"
64505,"[14, 104, 5, 42, 87]"
64506,"[69, 50, 40, 8, 23]"
64507,"[14, 106, 67, 26, 25]"
64508,"[75, 6, 46, 74, 36]"
64509,"[67, 48, 87, 46, 86]"
64510,"[60, 39, 21, 68, 73]"
64511,"[99, 7, 28, 31, 25]"
64512,"[67, 46, 11, 68, 75]"
64513,"[31, 14, 50, 76, 104]"
64514,"[1, 38, 97, 73, 5]"
64515,"[25, 67, 53, 5, 100]"
64516,"[22, 32, 86, 99, 72]"
64517,"[5, 73, 46, 2, 4]"
64518,"[69, 11, 5, 78, 100]"
64519,"[8, 11, 112, 31, 72]"
64520,"[41, 112, 39, 49, 7]"
64521,"[1, 97, 73, 5, 51]"
64522,"[8, 30, 25, 44, 53]"
64523,"[1, 9, 25, 14, 71]"
64524,"[105, 44, 40, 100, 30]"
64525,"[39, 97, 101, 93, 13]"
64526,"[49, 70, 25, 4, 85]"
64527,"[22, 8, 90, 89, 12]"
64528,"[8, 73, 97, 50, 110]"
64529,"[69, 89, 2, 50, 34]"
64530,"[14, 23, 8, 35, 16]"
64531,"[47, 60, 104, 100, 11]"
64532,"[49, 85, 90, 50, 15]"
64533,"[87, 9, 98, 35, 21]"
64534,"[48, 101, 57, 17, 97]"
64535,"[77, 69, 1, 102, 46]"
64536,"[67, 87, 50, 75, 71]"
64537,"[28, 50, 46, 49, 100]"
64538,"[100, 19, 97, 73, 106]"
64539,"[45, 105, 23, 95, 73]"
64540,"[25, 71, 68, 36, 63]"
64541,"[112, 26, 1, 68, 67]"
64542,"[50, 14, 93, 109, 30]"
64543,"[18, 5, 99, 60, 105]"
64544,"[8, 50, 63, 98, 46]"
64545,"[112, 47, 12, 71, 21]"
64546,"[21, 6, 15, 18, 22]"
64547,"[46, 27, 80, 48, 32]"
64548,"[31, 104, 72, 78, 86]"
64549,"[60, 11, 8, 20, 69]"
64550,"[85, 73, 68, 11, 100]"
64551,"[50, 42, 10, 85, 34]"
64552,"[17, 100, 68, 62, 106]"
64553,"[15, 49, 26, 98, 28]"
64554,"[8, 48, 9, 62, 57]"
64555,"[67, 57, 87, 10, 7]"
64556,"[25, 33, 75, 93, 18]"
64557,"[15, 1, 7, 11, 73]"
64558,"[63, 95, 6, 5, 52]"
64559,"[28, 38, 87, 104, 106]"
64560,"[69, 68, 21, 47, 104]"
64561,"[63, 21, 44, 57, 27]"
64562,"[93, 96, 39, 36, 63]"
64563,"[46, 80, 30, 98, 67]"
64564,"[4, 1, 7, 21, 30]"
64565,"[58, 100, 1, 44, 95]"
64566,"[72, 43, 59, 87, 105]"
64567,"[44, 74, 5, 62, 99]"
64568,"[30, 28, 63, 68, 11]"
64569,"[32, 69, 93, 86, 21]"
64570,"[7, 67, 39, 21, 50]"
64571,"[25, 62, 72, 100, 86]"
64572,"[21, 68, 80, 3, 93]"
64573,"[87, 106, 21, 11, 26]"
64574,"[11, 16, 94, 28, 112]"
64575,"[53, 38, 56, 86, 21]"
64576,"[73, 59, 51, 55, 93]"
64577,"[71, 11, 14, 54, 55]"
64578,"[11, 51, 50, 63, 7]"
64579,"[20, 21, 100, 42, 55]"
64580,"[102, 64, 39, 106, 8]"
64581,"[46, 30, 18, 106, 102]"
64582,"[59, 50, 73, 28, 19]"
64583,"[97, 71, 94, 90, 21]"
64584,"[51, 101, 12, 87, 100]"
64585,"[104, 3, 55, 21, 60]"
64586,"[106, 62, 87, 93, 103]"
64587,"[75, 25, 63, 48, 9]"
64588,"[19, 11, 41, 37, 100]"
64589,"[51, 39, 64, 70, 33]"
64590,"[7, 99, 53, 72, 34]"
64591,"[97, 100, 72, 85, 93]"
64592,"[5, 104, 102, 79, 8]"
64593,"[11, 73, 91, 112, 12]"
64594,"[79, 21, 42, 80, 5]"
64595,"[64, 98, 3, 93, 15]"
64596,"[29, 52, 90, 67, 62]"
64597,"[50, 30, 41, 78, 4]"
64598,"[3, 103, 9, 22, 67]"
64599,"[9, 3, 112, 38, 22]"
64600,"[28, 99, 75, 101, 20]"
64601,"[9, 21, 28, 70, 5]"
64602,"[74, 79, 50, 67, 9]"
64603,"[42, 68, 41, 74, 92]"
64604,"[30, 25, 36, 1, 86]"
64605,"[100, 86, 53, 21, 93]"
64606,"[74, 39, 44, 112, 100]"
64607,"[25, 7, 29, 67, 26]"
64608,"[21, 9, 19, 40, 8]"
64609,"[74, 104, 21, 12, 98]"
64610,"[73, 14, 2, 106, 70]"
64611,"[8, 7, 62, 55, 73]"
64612,"[54, 21, 17, 68, 81]"
64613,"[112, 80, 11, 87, 61]"
64614,"[93, 26, 51, 97, 74]"
64615,"[64, 100, 69, 71, 9]"
64616,"[59, 26, 9, 51, 7]"
64617,"[84, 74, 25, 7, 106]"
64618,"[46, 42, 68, 40, 23]"
64619,"[5, 23, 53, 34, 4]"
64620,"[11, 111, 100, 88, 99]"
64621,"[1, 68, 74, 104, 100]"
64622,"[63, 25, 14, 1, 112]"
64623,"[39, 105, 44, 97, 8]"
64624,"[4, 27, 12, 26, 75]"
64625,"[11, 17, 28, 16, 39]"
64626,"[94, 60, 73, 28, 34]"
64627,"[76, 104, 74, 10, 68]"
64628,"[44, 7, 46, 28, 101]"
64629,"[97, 54, 83, 28, 5]"
64630,"[32, 77, 28, 87, 43]"
64631,"[39, 1, 102, 82, 57]"
64632,"[97, 76, 87, 82, 56]"
64633,"[43, 8, 26, 53, 93]"
64634,"[75, 101, 8, 100, 21]"
64635,"[112, 100, 11, 26, 67]"
64636,"[38, 8, 50, 16, 21]"
64637,"[74, 34, 100, 72, 85]"
64638,"[26, 68, 96, 39, 106]"
64639,"[73, 5, 83, 71, 93]"
64640,"[29, 91, 70, 36, 95]"
64641,"[10, 20, 51, 19, 90]"
64642,"[39, 8, 78, 12, 101]"
64643,"[99, 74, 83, 94, 14]"
64644,"[7, 5, 100, 46, 93]"
64645,"[18, 70, 73, 9, 27]"
64646,"[64, 25, 12, 39, 78]"
64647,"[86, 11, 28, 31, 72]"
64648,"[21, 101, 28, 70, 107]"
64649,"[72, 39, 7, 27, 2]"
64650,"[41, 3, 73, 100, 68]"
64651,"[45, 53, 57, 28, 4]"
64652,"[70, 68, 11, 99, 95]"
64653,"[35, 90, 2, 3, 109]"
64654,"[11, 41, 68, 103, 86]"
64655,"[112, 18, 21, 47, 86]"
64656,"[106, 112, 44, 73, 33]"
64657,"[28, 97, 50, 26, 1]"
64658,"[42, 19, 50, 39, 87]"
64659,"[25, 59, 67, 74, 33]"
64660,"[21, 112, 28, 74, 25]"
64661,"[86, 8, 25, 39, 62]"
64662,"[70, 61, 84, 74, 63]"
64663,"[21, 112, 104, 68, 46]"
64664,"[96, 39, 15, 2, 91]"
64665,"[19, 28, 14, 93, 50]"
64666,"[21, 42, 59, 69, 50]"
64667,"[21, 57, 86, 93, 59]"
64668,"[93, 88, 73, 7, 14]"
64669,"[81, 5, 34, 25, 8]"
64670,"[17, 69, 39, 102, 101]"
64671,"[72, 74, 26, 60, 56]"
64672,"[99, 62, 58, 73, 23]"
64673,"[11, 72, 102, 98, 100]"
64674,"[9, 39, 59, 28, 109]"
64675,"[39, 31, 42, 41, 63]"
64676,"[74, 50, 44, 104, 112]"
64677,"[69, 68, 28, 95, 86]"
64678,"[1, 21, 58, 62, 11]"
64679,"[21, 104, 100, 35, 65]"
64680,"[73, 88, 8, 31, 104]"
64681,"[69, 68, 112, 42, 22]"
64682,"[56, 109, 87, 59, 49]"
64683,"[23, 12, 21, 28, 73]"
64684,"[27, 53, 83, 1, 17]"
64685,"[86, 19, 98, 68, 67]"
64686,"[106, 46, 31, 7, 51]"
64687,"[21, 44, 20, 86, 47]"
64688,"[104, 93, 85, 59, 71]"
64689,"[86, 68, 100, 63, 15]"
64690,"[102, 106, 75, 23, 110]"
64691,"[36, 72, 51, 75, 20]"
64692,"[77, 104, 101, 19, 7]"
64693,"[42, 44, 46, 86, 110]"
64694,"[21, 7, 67, 101, 11]"
64695,"[86, 93, 35, 112, 106]"
64696,"[73, 68, 77, 29, 41]"
64697,"[18, 21, 14, 33, 20]"
64698,"[2, 6, 9, 97, 68]"
64699,"[19, 31, 9, 28, 74]"
64700,"[50, 73, 42, 86, 21]"
64701,"[1, 39, 97, 62, 25]"
64702,"[99, 73, 104, 9, 8]"
64703,"[1, 72, 101, 56, 78]"
64704,"[46, 3, 93, 37, 73]"
64705,"[14, 109, 69, 5, 4]"
64706,"[50, 14, 26, 106, 8]"
64707,"[102, 104, 14, 39, 68]"
64708,"[44, 93, 82, 87, 99]"
64709,"[27, 74, 81, 32, 68]"
64710,"[93, 11, 36, 33, 31]"
64711,"[83, 44, 87, 74, 39]"
64712,"[39, 99, 28, 31, 77]"
64713,"[69, 42, 74, 53, 30]"
64714,"[3, 9, 74, 2, 32]"
64715,"[73, 93, 7, 55, 68]"
