,timeDerrotado
302,"[14, 97, 6, 90, 22]"
303,"[40, 74, 37, 72, 100]"
304,"[74, 26, 54, 4, 21]"
305,"[72, 68, 22, 36, 14]"
306,"[21, 36, 62, 31, 8]"
307,"[11, 25, 69, 8, 71]"
308,"[73, 21, 53, 101, 72]"
309,"[14, 107, 36, 73, 71]"
310,"[106, 112, 16, 101, 46]"
311,"[110, 2, 50, 11, 59]"
312,"[35, 16, 50, 93, 17]"
313,"[105, 57, 11, 73, 93]"
314,"[86, 75, 5, 1, 88]"
315,"[46, 106, 21, 45, 39]"
316,"[72, 21, 3, 39, 71]"
317,"[100, 28, 19, 11, 68]"
318,"[60, 39, 47, 14, 101]"
319,"[25, 106, 3, 50, 71]"
320,"[59, 14, 104, 39, 41]"
321,"[101, 11, 29, 2, 25]"
322,"[29, 18, 104, 43, 112]"
323,"[13, 11, 83, 106, 86]"
324,"[14, 26, 68, 8, 47]"
325,"[7, 28, 20, 46, 1]"
326,"[40, 26, 28, 7, 11]"
327,"[72, 50, 104, 77, 7]"
328,"[14, 11, 29, 59, 99]"
329,"[97, 102, 106, 91, 70]"
330,"[14, 72, 85, 105, 37]"
331,"[72, 21, 104, 102, 11]"
332,"[110, 2, 89, 11, 87]"
333,"[106, 5, 1, 9, 51]"
334,"[50, 11, 88, 67, 75]"
335,"[21, 62, 69, 25, 36]"
336,"[93, 74, 111, 19, 100]"
337,"[29, 26, 11, 27, 1]"
338,"[72, 105, 100, 29, 21]"
339,"[106, 21, 112, 25, 1]"
340,"[4, 59, 21, 2, 55]"
341,"[11, 20, 19, 50, 2]"
342,"[21, 38, 31, 85, 72]"
343,"[107, 26, 93, 69, 73]"
344,"[21, 54, 29, 40, 50]"
345,"[77, 59, 25, 75, 104]"
346,"[7, 78, 11, 5, 2]"
347,"[9, 98, 112, 12, 35]"
348,"[41, 2, 102, 86, 74]"
349,"[73, 61, 5, 2, 99]"
350,"[89, 25, 19, 8, 99]"
351,"[2, 88, 79, 40, 11]"
352,"[99, 46, 37, 20, 2]"
353,"[20, 49, 75, 1, 74]"
354,"[4, 2, 7, 12, 25]"
355,"[91, 28, 93, 25, 17]"
356,"[50, 23, 104, 39, 71]"
357,"[7, 12, 73, 21, 1]"
358,"[73, 106, 69, 50, 68]"
359,"[5, 104, 1, 33, 11]"
360,"[62, 85, 75, 48, 46]"
361,"[20, 27, 42, 56, 73]"
362,"[102, 39, 100, 69, 73]"
363,"[21, 8, 53, 59, 86]"
364,"[26, 72, 73, 87, 39]"
365,"[62, 100, 9, 36, 47]"
366,"[78, 39, 71, 7, 86]"
367,"[7, 85, 8, 54, 34]"
368,"[81, 9, 86, 28, 11]"
369,"[28, 38, 67, 86, 39]"
370,"[8, 39, 26, 29, 11]"
371,"[1, 7, 54, 88, 86]"
372,"[32, 69, 12, 74, 2]"
373,"[80, 88, 9, 21, 112]"
374,"[47, 30, 8, 39, 16]"
375,"[102, 51, 2, 34, 63]"
376,"[112, 1, 85, 28, 46]"
377,"[32, 86, 2, 21, 73]"
378,"[15, 68, 41, 21, 112]"
379,"[21, 50, 69, 12, 39]"
380,"[25, 12, 40, 50, 53]"
381,"[100, 104, 44, 87, 74]"
382,"[21, 68, 37, 15, 48]"
383,"[93, 26, 44, 21, 7]"
384,"[37, 56, 69, 84, 41]"
385,"[36, 29, 92, 31, 2]"
386,"[2, 41, 11, 86, 21]"
387,"[74, 1, 10, 7, 112]"
388,"[39, 64, 72, 29, 37]"
389,"[18, 39, 21, 99, 56]"
390,"[1, 14, 35, 5, 96]"
391,"[36, 90, 93, 39, 105]"
392,"[26, 14, 8, 21, 2]"
393,"[71, 86, 44, 21, 33]"
394,"[25, 55, 53, 71, 8]"
395,"[2, 87, 100, 56, 11]"
396,"[84, 55, 107, 48, 52]"
397,"[30, 11, 65, 60, 36]"
398,"[2, 42, 21, 22, 39]"
399,"[44, 39, 64, 90, 61]"
400,"[39, 18, 80, 100, 64]"
401,"[11, 68, 14, 7, 93]"
402,"[112, 109, 9, 69, 46]"
403,"[25, 64, 60, 42, 97]"
404,"[12, 6, 22, 65, 18]"
405,"[112, 42, 36, 97, 46]"
406,"[21, 93, 78, 87, 11]"
407,"[86, 63, 1, 87, 112]"
408,"[104, 110, 30, 71, 2]"
409,"[18, 73, 68, 28, 112]"
410,"[64, 59, 96, 9, 74]"
411,"[99, 11, 58, 12, 96]"
412,"[73, 69, 44, 9, 86]"
413,"[97, 11, 18, 71, 68]"
414,"[56, 93, 5, 20, 21]"
415,"[112, 21, 39, 7, 18]"
416,"[12, 100, 69, 98, 74]"
417,"[73, 21, 16, 85, 1]"
418,"[19, 46, 8, 101, 25]"
419,"[9, 112, 11, 87, 72]"
420,"[39, 54, 97, 1, 62]"
421,"[104, 51, 4, 86, 21]"
422,"[5, 11, 42, 95, 13]"
423,"[44, 59, 38, 70, 7]"
424,"[26, 110, 21, 71, 1]"
