"file:/C:/Users/flavi/Google%20Drive/Doutorado/Ciencia%20de%20Redes/dotaComplementar.mat_2","interaction","name","selected","shared interaction","shared name"
"1.0","interacts with","Node 54 (interacts with) Node 112","false","interacts with","Node 54 (interacts with) Node 112"
"1.0","interacts with","Node 54 (interacts with) Node 55","false","interacts with","Node 54 (interacts with) Node 55"
"1.0","interacts with","Node 54 (interacts with) Node 107","false","interacts with","Node 54 (interacts with) Node 107"
"1.0","interacts with","Node 55 (interacts with) Node 112","false","interacts with","Node 55 (interacts with) Node 112"
"1.0","interacts with","Node 55 (interacts with) Node 56","false","interacts with","Node 55 (interacts with) Node 56"
"1.0","interacts with","Node 55 (interacts with) Node 107","false","interacts with","Node 55 (interacts with) Node 107"
"1.0","interacts with","Node 56 (interacts with) Node 112","false","interacts with","Node 56 (interacts with) Node 112"
"1.0","interacts with","Node 56 (interacts with) Node 65","false","interacts with","Node 56 (interacts with) Node 65"
"1.0","interacts with","Node 56 (interacts with) Node 57","false","interacts with","Node 56 (interacts with) Node 57"
"1.0","interacts with","Node 56 (interacts with) Node 107","false","interacts with","Node 56 (interacts with) Node 107"
"1.0","interacts with","Node 57 (interacts with) Node 58","false","interacts with","Node 57 (interacts with) Node 58"
"1.0","interacts with","Node 57 (interacts with) Node 107","false","interacts with","Node 57 (interacts with) Node 107"
"1.0","interacts with","Node 58 (interacts with) Node 59","false","interacts with","Node 58 (interacts with) Node 59"
"1.0","interacts with","Node 58 (interacts with) Node 107","false","interacts with","Node 58 (interacts with) Node 107"
"1.0","interacts with","Node 59 (interacts with) Node 112","false","interacts with","Node 59 (interacts with) Node 112"
"1.0","interacts with","Node 59 (interacts with) Node 107","false","interacts with","Node 59 (interacts with) Node 107"
"1.0","interacts with","Node 59 (interacts with) Node 60","false","interacts with","Node 59 (interacts with) Node 60"
"1.0","interacts with","Node 60 (interacts with) Node 107","false","interacts with","Node 60 (interacts with) Node 107"
"1.0","interacts with","Node 60 (interacts with) Node 61","false","interacts with","Node 60 (interacts with) Node 61"
"1.0","interacts with","Node 61 (interacts with) Node 112","false","interacts with","Node 61 (interacts with) Node 112"
"1.0","interacts with","Node 61 (interacts with) Node 107","false","interacts with","Node 61 (interacts with) Node 107"
"1.0","interacts with","Node 61 (interacts with) Node 62","false","interacts with","Node 61 (interacts with) Node 62"
"1.0","interacts with","Node 62 (interacts with) Node 112","false","interacts with","Node 62 (interacts with) Node 112"
"1.0","interacts with","Node 62 (interacts with) Node 107","false","interacts with","Node 62 (interacts with) Node 107"
"1.0","interacts with","Node 62 (interacts with) Node 63","false","interacts with","Node 62 (interacts with) Node 63"
"1.0","interacts with","Node 63 (interacts with) Node 64","false","interacts with","Node 63 (interacts with) Node 64"
"1.0","interacts with","Node 63 (interacts with) Node 112","false","interacts with","Node 63 (interacts with) Node 112"
"1.0","interacts with","Node 63 (interacts with) Node 107","false","interacts with","Node 63 (interacts with) Node 107"
"1.0","interacts with","Node 64 (interacts with) Node 112","false","interacts with","Node 64 (interacts with) Node 112"
"1.0","interacts with","Node 64 (interacts with) Node 65","false","interacts with","Node 64 (interacts with) Node 65"
"1.0","interacts with","Node 64 (interacts with) Node 107","false","interacts with","Node 64 (interacts with) Node 107"
"1.0","interacts with","Node 65 (interacts with) Node 112","false","interacts with","Node 65 (interacts with) Node 112"
"1.0","interacts with","Node 65 (interacts with) Node 66","false","interacts with","Node 65 (interacts with) Node 66"
"1.0","interacts with","Node 65 (interacts with) Node 107","false","interacts with","Node 65 (interacts with) Node 107"
"1.0","interacts with","Node 66 (interacts with) Node 112","false","interacts with","Node 66 (interacts with) Node 112"
"1.0","interacts with","Node 66 (interacts with) Node 67","false","interacts with","Node 66 (interacts with) Node 67"
"1.0","interacts with","Node 66 (interacts with) Node 107","false","interacts with","Node 66 (interacts with) Node 107"
"1.0","interacts with","Node 67 (interacts with) Node 68","false","interacts with","Node 67 (interacts with) Node 68"
"1.0","interacts with","Node 67 (interacts with) Node 107","false","interacts with","Node 67 (interacts with) Node 107"
"1.0","interacts with","Node 68 (interacts with) Node 69","false","interacts with","Node 68 (interacts with) Node 69"
"1.0","interacts with","Node 68 (interacts with) Node 107","false","interacts with","Node 68 (interacts with) Node 107"
"1.0","interacts with","Node 69 (interacts with) Node 70","false","interacts with","Node 69 (interacts with) Node 70"
"1.0","interacts with","Node 69 (interacts with) Node 107","false","interacts with","Node 69 (interacts with) Node 107"
"1.0","interacts with","Node 70 (interacts with) Node 112","false","interacts with","Node 70 (interacts with) Node 112"
